[14/11/2025 20:41:13] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 22:43:02] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_character_info], Params: [ Aldren] 
[14/11/2025 22:43:08] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 22:43:14] --> GM: Odin [268477913], Target: [Aldren], Action: [admin_set_level], Params: [ 39] 
[14/11/2025 22:47:29] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 22:47:31] --> GM: Odin [268477913], Target: [Odin], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 22:47:38] --> GM: Odin [268477913], Target: [Odin], Action: [admin_spawn_monster], Params: [ 50019 1] 
[14/11/2025 23:15:01] --> GM: Odin [268477913], Target: [no-target], Action: [admin_admin], Params: [] 
[14/11/2025 23:15:02] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 23:15:08] --> GM: Odin [268477913], Target: [no-target], Action: [admin_spawn_monster], Params: [ 1 1] 
[14/11/2025 23:18:25] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 23:18:26] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin2], Params: [] 
[14/11/2025 23:18:27] --> GM: Odin [268477913], Target: [Odin], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 23:18:29] --> GM: Odin [268477913], Target: [Odin], Action: [admin_character_info], Params: [ Odin] 
[14/11/2025 23:18:31] --> GM: Odin [268477913], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 23:18:35] --> GM: Odin [268477913], Target: [Odin], Action: [admin_set_level], Params: [ 8] 
[14/11/2025 23:18:47] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin], Params: [] 
[14/11/2025 23:19:01] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin2], Params: [] 
[14/11/2025 23:19:02] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 23:19:03] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_character_info], Params: [ Odin] 
[14/11/2025 23:19:05] --> GM: Odin [268477913], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 23:19:09] --> GM: Odin [268477913], Target: [Odin], Action: [admin_set_level], Params: [ 15] 
[14/11/2025 23:19:47] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin], Params: [] 
[14/11/2025 23:19:49] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin2], Params: [] 
[14/11/2025 23:19:51] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 23:19:52] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_character_info], Params: [ Odin] 
[14/11/2025 23:19:59] --> GM: Odin [268477913], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 23:20:04] --> GM: Odin [268477913], Target: [Odin], Action: [admin_set_level], Params: [ 21] 
[14/11/2025 23:22:00] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin], Params: [] 
[14/11/2025 23:22:03] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_admin2], Params: [] 
[14/11/2025 23:22:04] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_show_characters], Params: [ 0] 
[14/11/2025 23:22:06] --> GM: Odin [268477913], Target: [Newbie Guide], Action: [admin_character_info], Params: [ Odin] 
[14/11/2025 23:22:09] --> GM: Odin [268477913], Target: [Odin], Action: [admin_add_exp_sp_to_character], Params: [] 
[14/11/2025 23:22:13] --> GM: Odin [268477913], Target: [Odin], Action: [admin_set_level], Params: [ 30] 
[14/11/2025 23:29:26] --> GM: Odin [268477913], Target: [Guardian Buffer], Action: [admin_delete], Params: [] 
[14/11/2025 23:41:46] --> GM: Odin [268477913], Target: [Odin], Action: [admin_admin], Params: [] 
[14/11/2025 23:41:48] --> GM: Odin [268477913], Target: [Odin], Action: [admin_spawn_monster], Params: [] 
[14/11/2025 23:41:54] --> GM: Odin [268477913], Target: [Odin], Action: [admin_spawn_monster], Params: [ 53 1] 
