[20/09/2024 13:24:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 13:38:45] --> GM: Odin [268477776], Target: [Odin], Action: [admin_current_player], Params: [] 
[20/09/2024 20:25:46] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:25:47] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 20:25:49] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:25:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[20/09/2024 20:25:51] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 20:25:52] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Vanst] 
[20/09/2024 20:25:54] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_goto_char_menu], Params: [ Vanst] 
[20/09/2024 20:26:06] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:26:09] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:26:10] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/nogradew.htm] 
[20/09/2024 20:26:11] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9004] 
[20/09/2024 20:27:08] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:27:10] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:27:10] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/nogradew.htm] 
[20/09/2024 20:27:12] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_buy], Params: [ 9004] 
[20/09/2024 20:31:05] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_admin], Params: [] 
[20/09/2024 20:31:08] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_admin2], Params: [] 
[20/09/2024 20:31:09] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 20:31:10] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_character_info], Params: [ Vanst] 
[20/09/2024 20:31:12] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_goto_char_menu], Params: [ Vanst] 
[20/09/2024 20:31:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:31:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:31:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ gmshop/nogradew.htm] 
[20/09/2024 20:31:29] --> GM: Odin [268477776], Target: [no-target], Action: [admin_buy], Params: [ 9003] 
[20/09/2024 20:33:00] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:33:03] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:33:04] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/dgradew.htm] 
[20/09/2024 20:33:06] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_buy], Params: [ 9013] 
[20/09/2024 20:34:22] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:34:23] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:34:24] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/cgradew.htm] 
[20/09/2024 20:34:26] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_buy], Params: [ 9022] 
[20/09/2024 20:35:18] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:35:19] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/Weapons.htm] 
[20/09/2024 20:35:20] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_help], Params: [ gmshop/bgradew.htm] 
[20/09/2024 20:35:22] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_buy], Params: [ 9031] 
[20/09/2024 20:41:50] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:41:51] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
[20/09/2024 20:41:53] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:41:55] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 20:41:58] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 20:42:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[20/09/2024 20:42:07] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 45280 52281 -2801] 
[20/09/2024 20:42:19] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:42:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[20/09/2024 20:42:22] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 20:42:23] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Vanst] 
[20/09/2024 20:42:25] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_recall_char_menu], Params: [ Vanst] 
[20/09/2024 20:45:55] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:45:56] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 20:45:59] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 20:46:02] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[20/09/2024 20:46:08] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 20:46:09] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/ti_starting.htm] 
[20/09/2024 20:46:19] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ -82687 243157 -3734] 
[20/09/2024 20:46:22] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 20:46:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[20/09/2024 20:46:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 20:46:26] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Vanst] 
[20/09/2024 20:46:28] --> GM: Odin [268477776], Target: [Vanst], Action: [admin_recall_char_menu], Params: [ Vanst] 
[20/09/2024 21:53:19] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 21:53:21] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 21:53:23] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 21:53:25] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/aden.htm] 
[20/09/2024 21:53:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 146086 26302 -2195] 
[20/09/2024 21:59:39] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 21:59:43] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [] 
[20/09/2024 21:59:57] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [ 57 100000000] 
[20/09/2024 22:00:07] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[20/09/2024 22:00:09] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [] 
[20/09/2024 22:00:19] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [ 57 100000000] 
[20/09/2024 22:00:28] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[20/09/2024 22:00:30] --> GM: Odin [268477776], Target: [Odin], Action: [admin_move_to], Params: [] 
[20/09/2024 22:00:31] --> GM: Odin [268477776], Target: [Odin], Action: [admin_admin], Params: [] 
[20/09/2024 22:00:32] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [] 
[20/09/2024 22:00:39] --> GM: Odin [268477776], Target: [Odin], Action: [admin_create_item], Params: [ 57 800000000] 
[20/09/2024 22:34:22] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_admin], Params: [] 
[20/09/2024 22:34:26] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_admin2], Params: [] 
[20/09/2024 22:34:27] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 22:34:30] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_admin], Params: [] 
[20/09/2024 22:34:31] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_move_to], Params: [] 
[20/09/2024 22:34:32] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 22:34:34] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_help], Params: [ tele/towns/elven_starting.htm] 
[20/09/2024 22:34:36] --> GM: Odin [268477776], Target: [Woodrow], Action: [admin_move_to], Params: [ 45873 49288 -3064] 
[20/09/2024 22:39:34] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 22:39:35] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[20/09/2024 22:39:36] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[20/09/2024 22:39:38] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/delven_starting.htm] 
[20/09/2024 22:39:44] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 10793 14287 -4246] 
[20/09/2024 22:48:44] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[20/09/2024 22:48:46] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[20/09/2024 22:48:47] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 22:48:49] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Platina] 
[20/09/2024 22:48:50] --> GM: Odin [268477776], Target: [Platina], Action: [admin_recall_char_menu], Params: [ Platina] 
[20/09/2024 22:48:58] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin], Params: [] 
[20/09/2024 22:48:59] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin2], Params: [] 
[20/09/2024 22:49:01] --> GM: Odin [268477776], Target: [Platina], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 22:49:02] --> GM: Odin [268477776], Target: [Platina], Action: [admin_character_info], Params: [ Platina] 
[20/09/2024 22:49:05] --> GM: Odin [268477776], Target: [Platina], Action: [admin_add_exp_sp_to_character], Params: [] 
[20/09/2024 22:49:10] --> GM: Odin [268477776], Target: [Platina], Action: [admin_set_level], Params: [ 19] 
[20/09/2024 22:49:13] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin], Params: [] 
[20/09/2024 22:49:16] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin2], Params: [] 
[20/09/2024 22:49:19] --> GM: Odin [268477776], Target: [Platina], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 22:49:20] --> GM: Odin [268477776], Target: [Platina], Action: [admin_character_info], Params: [ Platina] 
[20/09/2024 22:49:22] --> GM: Odin [268477776], Target: [Platina], Action: [admin_add_exp_sp_to_character], Params: [] 
[20/09/2024 22:49:31] --> GM: Odin [268477776], Target: [Platina], Action: [admin_add_exp_sp], Params: [ 100000] 
[20/09/2024 22:50:49] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin], Params: [] 
[20/09/2024 22:50:53] --> GM: Odin [268477776], Target: [Platina], Action: [admin_admin2], Params: [] 
[20/09/2024 22:50:54] --> GM: Odin [268477776], Target: [Platina], Action: [admin_show_characters], Params: [ 0] 
[20/09/2024 22:50:55] --> GM: Odin [268477776], Target: [Platina], Action: [admin_character_info], Params: [ Platina] 
[20/09/2024 22:50:57] --> GM: Odin [268477776], Target: [Platina], Action: [admin_add_exp_sp_to_character], Params: [] 
[20/09/2024 22:51:06] --> GM: Odin [268477776], Target: [Platina], Action: [admin_add_exp_sp], Params: [ 1 100000] 
[21/09/2024 0:58:41] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 0:58:43] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [] 
[21/09/2024 0:58:53] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 0:58:54] --> GM: Odin [268477776], Target: [no-target], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[21/09/2024 0:59:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_move_to], Params: [ 77528 148183 -3596] 
[21/09/2024 0:59:07] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 0:59:14] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 0:59:16] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 0:59:18] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 0:59:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_recall_char_menu], Params: [ Lindurita] 
[21/09/2024 0:59:30] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 0:59:31] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 0:59:32] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 0:59:33] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 0:59:34] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp_to_character], Params: [] 
[21/09/2024 0:59:38] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_set_level], Params: [ 20] 
[21/09/2024 1:00:22] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin], Params: [] 
[21/09/2024 1:00:24] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin2], Params: [] 
[21/09/2024 1:00:25] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:00:26] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:00:28] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp_to_character], Params: [] 
[21/09/2024 1:00:31] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_set_level], Params: [ 19] 
[21/09/2024 1:03:58] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin], Params: [] 
[21/09/2024 1:03:59] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_move_to], Params: [] 
[21/09/2024 1:04:00] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 1:04:02] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ tele/towns/dwarf_starting.htm] 
[21/09/2024 1:04:04] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_move_to], Params: [ 115347 -182386 -1446] 
[21/09/2024 1:04:07] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 1:04:08] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:04:09] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:04:10] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:04:12] --> GM: Odin [268477776], Target: [no-target], Action: [admin_recall_char_menu], Params: [ Lindurita] 
[21/09/2024 1:11:55] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin], Params: [] 
[21/09/2024 1:11:57] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin2], Params: [] 
[21/09/2024 1:11:58] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:11:58] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:12:00] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_goto_char_menu], Params: [ Lindurita] 
[21/09/2024 1:12:03] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:12:05] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:12:06] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:12:07] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:12:11] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp_to_character], Params: [] 
[21/09/2024 1:12:17] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp], Params: [ 100000] 
[21/09/2024 1:12:47] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp], Params: [ 1 100000] 
[21/09/2024 1:51:42] --> GM: Odin [268477776], Target: [no-target], Action: [admin_current_player], Params: [] 
[21/09/2024 1:51:44] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 1:51:45] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:51:46] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:51:47] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:51:49] --> GM: Odin [268477776], Target: [no-target], Action: [admin_recall_char_menu], Params: [ Lindurita] 
[21/09/2024 1:51:57] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 1:51:59] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:51:59] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:52:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:52:04] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp_to_character], Params: [] 
[21/09/2024 1:52:09] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_set_level], Params: [ 39] 
[21/09/2024 1:52:17] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_gmshop], Params: [] 
[21/09/2024 1:52:20] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[21/09/2024 1:52:22] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/dgradea.htm] 
[21/09/2024 1:52:27] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_buy], Params: [ 9092] 
[21/09/2024 1:52:33] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_gmshop], Params: [] 
[21/09/2024 1:52:35] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[21/09/2024 1:52:36] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshops.htm] 
[21/09/2024 1:52:37] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/sets.htm] 
[21/09/2024 1:52:43] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshops.htm] 
[21/09/2024 1:52:45] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[21/09/2024 1:52:46] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/dgradea.htm] 
[21/09/2024 1:52:49] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_buy], Params: [ 9091] 
[21/09/2024 1:52:56] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_gmshop], Params: [] 
[21/09/2024 1:52:57] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/Armors.htm] 
[21/09/2024 1:52:58] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ gmshop/dgradea.htm] 
[21/09/2024 1:53:00] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_buy], Params: [ 9093] 
[21/09/2024 1:54:04] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin], Params: [] 
[21/09/2024 1:54:06] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin2], Params: [] 
[21/09/2024 1:54:07] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:54:08] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:54:10] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp_to_character], Params: [] 
[21/09/2024 1:54:15] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_add_exp_sp], Params: [ 1 1000000] 
[21/09/2024 1:54:46] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_admin], Params: [] 
[21/09/2024 1:54:48] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_move_to], Params: [] 
[21/09/2024 1:54:49] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ tele/towns.htm] 
[21/09/2024 1:54:50] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[21/09/2024 1:54:58] --> GM: Odin [268477776], Target: [Lindurita], Action: [admin_move_to], Params: [ 77528 148183 -3596] 
[21/09/2024 1:55:01] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin], Params: [] 
[21/09/2024 1:55:04] --> GM: Odin [268477776], Target: [no-target], Action: [admin_admin2], Params: [] 
[21/09/2024 1:55:05] --> GM: Odin [268477776], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[21/09/2024 1:55:06] --> GM: Odin [268477776], Target: [no-target], Action: [admin_character_info], Params: [ Lindurita] 
[21/09/2024 1:55:07] --> GM: Odin [268477776], Target: [no-target], Action: [admin_recall_char_menu], Params: [ Lindurita] 
[21/09/2024 13:13:20] --> GM: Odin [268477776], Target: [no-target], Action: [admin_gmshop], Params: [] 
